season,mean_pm25,median_pm25,std_pm25,station,year
Monsoon,39.61230716489544,33.75,26.57811719358893,station_1426_narela_delhi_dpcc_1hr,2024
Post-monsoon,191.92959016393442,167.5,137.96507007993722,station_1426_narela_delhi_dpcc_1hr,2024
Pre-monsoon,89.75634664152415,70.0,65.88793542164045,station_1426_narela_delhi_dpcc_1hr,2024
Winter,160.21724596495682,144.5,92.16173406981648,station_1426_narela_delhi_dpcc_1hr,2024
Monsoon,30.860178464954668,28.0,19.135232405694822,station_1427_najafgarh_delhi_dpcc_1hr,2021
Post-monsoon,130.45822436338608,110.0,99.49362507821135,station_1427_najafgarh_delhi_dpcc_1hr,2021
Pre-monsoon,72.83555391233104,55.75,56.71207642843968,station_1427_najafgarh_delhi_dpcc_1hr,2021
Winter,138.02263742006886,122.5,72.10857962224853,station_1427_najafgarh_delhi_dpcc_1hr,2021
Monsoon,93.94574680317443,68.0,86.69294921666557,station_1427_najafgarh_delhi_dpcc_1hr,2022
Post-monsoon,186.23783857729137,173.625,112.3613221591716,station_1427_najafgarh_delhi_dpcc_1hr,2022
Pre-monsoon,224.47127080407859,209.25,110.5941265025022,station_1427_najafgarh_delhi_dpcc_1hr,2022
Winter,162.71013425278156,150.0,82.108834918632,station_1427_najafgarh_delhi_dpcc_1hr,2022
Monsoon,86.97497742491178,75.5,61.75515014997781,station_1427_najafgarh_delhi_dpcc_1hr,2023
Post-monsoon,234.40767304189433,213.0,120.81367473408575,station_1427_najafgarh_delhi_dpcc_1hr,2023
Pre-monsoon,145.19609198006344,122.5,99.30483101893005,station_1427_najafgarh_delhi_dpcc_1hr,2023
Winter,181.28493315399038,167.0,80.57430010337464,station_1427_najafgarh_delhi_dpcc_1hr,2023
Monsoon,81.39213401683331,56.0,83.09120612863276,station_1427_najafgarh_delhi_dpcc_1hr,2024
Post-monsoon,243.08247948591202,224.25,134.83001182609314,station_1427_najafgarh_delhi_dpcc_1hr,2024
Pre-monsoon,182.74056077981652,161.125,107.69818861598836,station_1427_najafgarh_delhi_dpcc_1hr,2024
Winter,184.17189999238326,161.0,96.16044138761396,station_1427_najafgarh_delhi_dpcc_1hr,2024
Monsoon,34.127627939142464,31.0,18.2531662788048,station_1428_okhla_phase_2_delhi_dpcc_1hr,2021
